,DateTime,SBIN.NS,TTM,TATASTEEL.NS,WOCKPHARMA.NS,AXISBANK.NS,INFY,ADANIENT.NS,BANKBARODA.NS,DLF.NS,LT.NS,LICHSGFIN.NS,HINDALCO.NS,ICICIBANK.NS,PVR.NS,ASHOKLEY.NS,BHARTIARTL.NS,MARUTI.NS
0,2020-08-19 15:08:57,197.1,8.39,430.75,315.5,444.25,12.98,237.05,47.6,157.85,1009.55,278.0,196.9,374.25,1325.6,69.3,535.7,6979.8
1,2020-08-19 15:09:32,197.15,8.39,430.6,315.65,444.1,12.98,238.3,47.6,158.0,1009.3,277.8,196.8,374.1,1326.0,69.3,535.3,6977.1
2,2020-08-19 15:10:13,197.0,8.39,430.35,315.85,443.7,12.98,237.9,47.55,157.9,1008.9,277.8,196.8,373.95,1325.9,69.25,534.6,6976.0
3,2020-08-19 15:10:50,196.75,8.39,430.2,315.5,443.1,12.98,238.6,47.55,157.75,1007.8,277.05,196.65,373.95,1325.7,69.2,535.55,6986.95
4,2020-08-19 15:11:28,196.55,8.39,430.15,315.8,442.95,12.98,239.35,47.55,157.55,1006.35,277.05,196.95,373.85,1327.65,69.05,535.45,6985.2
5,2020-08-19 15:12:03,196.3,8.39,429.95,316.65,442.8,12.98,238.3,47.5,157.4,1007.7,276.55,197.0,373.65,1325.85,69.0,535.6,6986.75
6,2020-08-19 15:12:43,196.75,8.39,430.4,314.75,443.65,12.98,238.2,47.5,157.4,1009.4,276.85,196.95,373.8,1325.9,69.1,535.25,6988.45
7,2020-08-19 15:13:20,196.75,8.39,431.0,314.9,443.05,12.98,236.55,47.55,157.55,1009.05,276.95,197.0,373.9,1326.0,69.25,535.45,6988.05
8,2020-08-19 15:13:55,196.9,8.39,431.55,314.75,443.6,12.98,237.95,47.5,157.6,1009.1,277.1,197.0,374.15,1326.35,69.3,535.7,6988.15
9,2020-08-19 15:14:32,196.95,8.39,431.85,315.7,443.45,12.98,238.25,47.55,157.65,1008.9,277.1,197.0,374.15,1326.25,69.25,535.5,6990.0
10,2020-08-19 15:15:10,197.05,8.39,432.2,316.25,443.75,12.98,238.2,47.55,157.65,1009.0,277.0,197.0,373.95,1327.6,69.3,535.25,6985.4
11,2020-08-19 15:15:45,197.15,8.39,432.3,313.75,444.15,12.98,237.9,47.6,157.7,1009.05,277.1,197.0,374.1,1330.6,69.25,535.1,6988.0
12,2020-08-19 15:16:25,196.9,8.39,432.0,313.8,444.1,12.98,239.05,47.6,157.75,1008.55,277.05,196.9,374.2,1339.0,69.15,535.05,6988.5
